[2606:4700:0:3379:ecda:6a77:32e2:26ae]#IP6
[2606:4700:0:33e9:25ca:83eb:d5b:78f0]#IP6
[2606:4700:0:e6c6:393:b7fc:132e:d570]#IP6
[2606:4700:0:e6c6:b52e:fe4:ad2d:9a17]#IP6
[2606:4700:310c::ac42:2c67]#IP6
[2606:4700:5b:83e1:d2a3:ce54:84df:62b1]#IP6
[2606:4700:5b:83ea:514e:53ea:1fdd:4383]#IP6
[2606:4700:5b:83ea:51aa:c1aa:4957:7445]#IP6
mfa.gov.ua:443#SG
saas.sin.fan:443#JP
store.ubi.com:443#SG
cf.130519.xyz:443#KR
cf.008500.xyz:443#HK
cf.090227.xyz:443#SG
cf.877774.xyz:443#HK
cdns.doon.eu.org:443#JP
sub.danfeng.eu.org:443#TW
cf.zhetengsha.eu.org:443#HK
cf.090227.xyz#CM
bestcf.030101.xyz#domain
bestcf.030101.xyz#ymyuuu
bestali.030101.xyz#ymyuuu
yg9.ygkkk.dpdns.org:8443#yg9
yg10.ygkkk.dpdns.org:2053#yg10
yg13.ygkkk.dpdns.org:2096#yg13
8.218.36.133:9010#香港|606ms
129.150.35.29:587#新加坡|701ms
18.138.34.221:443#新加坡|702ms
138.2.78.38:1443#新加坡|708ms
129.150.38.6:39952#新加坡|708ms
168.138.184.104:18291#新加坡|711ms
138.2.64.229:443#新加坡|712ms
129.150.48.17:443#新加坡|713ms
138.2.89.238:43254#新加坡|734ms
168.138.165.174:443#新加坡|736ms
158.178.230.113:8443#新加坡|736ms
168.138.180.178:44470#新加坡|736ms
138.2.92.55:8888#新加坡|737ms
158.178.234.153:443#新加坡|737ms
13.250.31.132:443#新加坡|738ms
149.28.158.103:10030#新加坡|739ms
52.77.114.70:443#新加坡|740ms
213.35.127.9:17534#新加坡|741ms
158.178.232.98:16920#新加坡|742ms
129.150.46.113:443#新加坡|743ms
168.138.191.251:8084#新加坡|748ms
138.2.68.161:55012#新加坡|749ms
138.2.101.238:6888#新加坡|749ms
8.222.195.24:14706#新加坡|749ms
213.35.100.31:47112#新加坡|751ms
213.35.108.135:12596#新加坡|754ms
138.2.71.48:48397#新加坡|755ms
146.235.16.191:443#新加坡|756ms
213.35.127.18:443#新加坡|756ms
158.178.247.237:11586#新加坡|757ms
138.2.85.206:25851#新加坡|758ms
146.235.18.248:45137#新加坡|759ms
8.219.56.26:40011#新加坡|763ms
138.2.74.171:18999#新加坡|768ms
158.180.72.60:443#韩国|769ms
45.77.25.6:48828#日本|789ms
167.179.110.68:8443#日本|795ms
138.2.10.149:45638#日本|801ms
138.3.222.124:46209#日本|801ms
150.230.204.21:10243#日本|810ms
8.211.164.191:32960#日本|812ms
138.2.10.217:27446#日本|814ms
140.238.37.103:14782#日本|814ms
47.79.40.51:20244#日本|815ms
3.112.89.102:8443#日本|816ms
18.183.158.211:443#日本|824ms
140.238.38.81:587#日本|826ms
193.123.161.116:443#日本|829ms
138.2.5.136:443#日本|833ms
152.70.82.101:18650#日本|834ms
140.83.57.114:25965#日本|835ms
64.110.104.30:443#日本|839ms
168.138.198.7:27560#日本|847ms
18.183.224.152:443#日本|848ms
150.230.214.172:16957#日本|859ms
140.83.57.183:22735#日本|865ms
217.142.250.195:587#日本|869ms
138.2.12.103:14453#日本|876ms
116.93.199.28:12136#韩国|927ms
23.95.18.12:18443#美国|1249ms
192.210.143.111:28425#美国|1250ms
23.94.43.51:443#美国|1250ms
138.2.85.81:2083#新加坡|1254ms
155.248.181.189:443#日本|1255ms
109.69.57.110:443#荷兰|1632ms
107.173.147.41:35398#美国|1633ms
91.90.193.24:443#瑞士|1635ms
109.69.56.236:443#荷兰|1635ms
151.236.8.190:443#奥地利|1636ms
46.102.156.144:8443#奥地利|1636ms
83.138.55.252:2053#奥地利|1636ms
147.45.197.233:2053#德国|1641ms
2.59.134.70:8103#德国|1644ms
49.13.171.76:2053#德国|1648ms
109.69.57.181:443#荷兰|1649ms
45.145.43.205:2053#德意志联邦共和国|1650ms
194.9.6.32:48484#德国|1650ms
77.110.110.254:443#奥地利|1651ms
194.87.199.13:443#德国|1652ms
212.192.215.163:443#荷兰|1653ms
38.180.97.176:9443#荷兰|1653ms
194.9.6.73:555#德国|1654ms
85.192.27.165:443#奥地利|1655ms
45.85.93.21:443#瑞士|1660ms
212.113.106.125:8443#奥地利|1662ms
195.201.148.147:443#德国|1662ms
157.90.125.127:443#德国|1662ms
78.47.146.151:443#德国|1662ms
147.45.167.197:443#荷兰|1662ms
128.140.11.25:25690#德国|1663ms
20.174.15.226:443#阿联酋|1663ms
64.238.203.110:8443#德国|1663ms
45.145.42.174:554#德意志联邦共和国|1665ms
194.58.33.218:443#德国|1667ms
192.210.196.158:36414#美国|1772ms
77.91.68.209:443#亚美尼亚|1823ms
2.56.207.235:443#亚美尼亚|1833ms
2.56.204.246:443#亚美尼亚|1909ms
94.177.8.78:2053#奥地利|1925ms
2.56.206.64:443#亚美尼亚|1927ms
